Subject ID,Song ID,Playing Time,Fixation Count,Fixation Duration,Saccade Length,Saccade Duration,Path Velocity,
031,3,93093,199,271.798994975,118.036995164,203.126760563,1.30323217751,
031,4,67646,122,312.901639344,128.333729551,254.487179487,1.24998586436,
031,5,200910,389,288.771208226,96.3323496814,228.522058824,1.2006312386,
032,0,50394,70,342.628571429,206.371113014,474.054794521,1.40027242493,
032,1,69312,125,306.456,140.002680242,255.943548387,1.50040175653,
032,2,137359,221,368.199095023,152.9893635,257.417857143,1.61150423236,
032,3,139058,162,287.395061728,168.090727697,560.247191011,1.15061735792,
032,4,2664,8,211.75,218.595898571,167.142857143,1.65150251429,
032,5,1032,4,358.75,270.161213333,121.333333333,3.47610373333,
033,0,65349,80,421.7125,154.742121759,368.601851852,1.13556899278,
033,1,104819,157,395.904458599,168.650177569,296.591160221,1.68801129895,
033,2,129033,230,346.969565217,106.635332739,244.323432343,1.18103292422,
033,3,153748,195,423.292307692,150.033364504,374.181818182,1.13692080884,
033,4,5863,5,206.4,427.142425,1249.25,0.36079045,
033,5,2333,6,205.333333333,398.225896,253.4,1.70400434,
034,0,54790,36,480.916666667,151.471474681,940.553191489,0.758761364894,
034,1,90129,62,468.403225806,136.627515054,760.76344086,1.02710442075,
034,4,0,1,133.0,0,0,0,
034,5,367,2,365.5,33.77404,102.0,0.3311181,
035,0,42433,77,349.961038961,150.064730163,196.569105691,1.60687498154,
035,1,72479,142,377.063380282,259.916341206,140.90070922,4.4604242156,
035,2,190384,272,452.242647059,99.2639715986,251.496598639,1.08662791395,
035,3,143155,269,354.855018587,206.540092941,166.373529412,2.80942987874,
035,4,460140,529,591.61436673,104.293337418,274.305454545,1.22846594327,
035,5,258332,441,387.64399093,137.750790815,197.027896996,2.02289189706,
036,0,43533,77,327.493506494,153.3532072,281.74,1.26168259533,
036,1,59487,86,348.523255814,140.87772902,403.269607843,1.04696850343,
036,2,138792,161,407.322981366,138.226431497,463.718562874,0.840052236467,
036,3,77840,94,248.627659574,179.69493523,611.008368201,1.12565227653,
036,4,106783,103,345.417475728,195.506747724,668.855172414,1.02128679655,
036,5,238415,285,329.133333333,125.543700351,523.8791423,0.841871449571,
037,0,31575,14,316.357142857,335.036385429,1607.2,0.891561016,
037,1,40568,55,302.854545455,195.627502532,411.101265823,1.3000872781,
037,2,113878,67,332.641791045,269.197023788,1390.27272727,0.889968912121,
037,3,78671,90,244.922222222,253.604181919,680.03030303,1.18245948263,
037,4,138358,36,341.361111111,343.269219268,3552.56097561,0.737894415854,
037,5,198248,166,310.855421687,224.368430121,889.757575758,1.0597449117,
038,0,60685,67,363.059701493,216.467200455,554.454545455,1.322374755,
038,1,56556,102,344.12745098,107.508765545,214.405940594,1.07550425149,
038,2,181724,299,483.418060201,80.7560377044,127.622641509,1.1346487183,
038,3,152449,231,432.051948052,94.113823087,229.895652174,1.08010558347,
038,4,8693,21,241.095238095,222.832481,201.4,3.358269793,
038,5,77473,140,331.935714286,122.342164604,223.992805755,1.19356172633,
039,0,27746,12,471.583333333,233.822564167,2029.25,0.528036135,
039,1,34440,26,384.346153846,150.84053125,1334.96875,0.58318067825,
039,2,144453,104,492.240384615,149.51013534,910.941747573,0.696402483592,
039,3,147151,135,324.444444444,191.431464254,772.529850746,0.890471846791,
039,4,148517,169,479.130177515,181.439104589,343.913419913,1.86096448516,
039,5,167569,130,383.792307692,181.010055775,798.818181818,0.974359902727,
040,0,126002,207,338.0,136.514300467,266.200934579,1.66319821537,
040,1,122672,253,301.553359684,122.801219841,185.496031746,1.57745025802,
040,2,220662,332,314.53313253,132.428453988,354.891238671,1.44558819426,
040,3,75207,180,283.083333333,118.022910815,145.081460674,1.57207370312,
040,4,151114,218,313.729357798,172.587569158,285.722772277,1.72691367861,
040,5,168169,365,311.463013699,105.818232512,129.349753695,1.50323965268,
041,0,14523,14,309.357142857,237.648715455,1398.84090909,0.776157487727,
041,1,37904,58,304.362068966,172.081078571,534.054945055,1.31532098582,
041,2,258298,175,393.645714286,197.76594242,939.890410959,0.936168276575,
041,3,30844,18,401.555555556,250.320503333,1287.9047619,1.10471951952,
041,4,5263,12,216.583333333,348.655348182,269.454545455,2.77448825455,
041,5,4896,10,243.1,308.708744444,303.555555556,1.18299906667,
